,Date,AAPL Open Price,AAPL Volume
0,2018-06-01,187.9912,23442510
1,2018-06-04,191.635,26266174
2,2018-06-05,193.065,21565963
3,2018-06-06,193.63,20933619
4,2018-06-07,194.14,21347180
5,2018-06-08,191.17,26656799
6,2018-06-11,191.35,18308460
7,2018-06-12,191.385,16911141
8,2018-06-13,192.42,21638393
9,2018-06-14,191.55,21610074
10,2018-06-15,190.03,61719160
11,2018-06-18,187.88,18484865
12,2018-06-19,185.14,33578455
13,2018-06-20,186.35,20628701
14,2018-06-21,187.25,25711898
15,2018-06-22,186.12,27200447
16,2018-06-25,183.4,31663096
17,2018-06-26,182.99,24569201
18,2018-06-27,185.2278,25285328
19,2018-06-28,184.1,17365235
20,2018-06-29,186.29,22737666
21,2018-07-02,183.82,17731343
22,2018-07-03,187.79,13954806
23,2018-07-05,185.26,16604248
24,2018-07-06,185.42,17485245
25,2018-07-09,189.5,19756634
26,2018-07-10,190.71,15939149
27,2018-07-11,188.5,18831470
28,2018-07-12,189.53,18041131
29,2018-07-13,191.08,12519792
30,2018-07-16,191.52,15043110
31,2018-07-17,189.75,15534523
32,2018-07-18,191.78,16393381
33,2018-07-19,189.69,20286752
34,2018-07-20,191.78,20706042
35,2018-07-23,190.68,15989365
36,2018-07-24,192.45,18697898
37,2018-07-25,193.0602,16826483
38,2018-07-26,194.61,19075964
39,2018-07-27,194.99,24023972
40,2018-07-30,191.9,21029535
41,2018-07-31,190.3,39373038
42,2018-08-01,199.13,67935716
43,2018-08-02,200.58,62404012
44,2018-08-03,207.03,33447396
45,2018-08-06,208.0,25425387
46,2018-08-07,209.32,25587387
47,2018-08-08,206.05,22525487
48,2018-08-09,207.28,23492626
49,2018-08-10,207.36,24611202
50,2018-08-13,207.7,25890880
51,2018-08-14,210.155,20748010
52,2018-08-15,209.22,28807564
53,2018-08-16,211.75,28500367
54,2018-08-17,213.44,35426997
55,2018-08-20,218.1,30287695
56,2018-08-21,216.8,26159755
57,2018-08-22,214.1,19018131
58,2018-08-23,214.65,18883224
59,2018-08-24,216.6,18476356
60,2018-08-27,217.15,20525117
61,2018-08-28,219.01,22776766
62,2018-08-29,220.15,27254804
63,2018-08-30,223.25,48793824
