,Date,AAPL Open Price,AAPL Volume,NYT VS (Day_Lag=-1),WSJ VS (Day_Lag=-1),CNN VS (Day_Lag=-1)
0,2018-06-07,194.14,21347180,0.1547,0.0281,0.4759
1,2018-06-08,191.17,26656799,0.3953,0.3125,0.2145
2,2018-06-13,192.42,21638393,-0.5994,0.2464,0.1723
3,2018-06-14,191.55,21610074,-0.2062,-0.0081,0.1048
4,2018-06-15,190.03,61719160,0.4016,0.0433,0.3337
5,2018-06-19,185.14,33578455,0.0991,0.0197,-0.0848
6,2018-06-20,186.35,20628701,0.0,0.1094,-0.0433
7,2018-06-28,184.1,17365235,-0.0752,0.3047,-0.388
8,2018-06-29,186.29,22737666,0.4776,0.4571,-0.189
9,2018-07-06,185.42,17485245,0.1264,-0.2732,0.0
10,2018-07-13,191.08,12519792,0.0224,0.2621,-0.1055
11,2018-07-19,189.69,20286752,0.1918,0.1788,0.0155
12,2018-07-20,191.78,20706042,0.0159,0.0964,0.0
13,2018-07-27,194.99,24023972,-0.1497,0.4726,0.3411
14,2018-08-03,207.03,33447396,-0.0474,0.3091,0.2486
15,2018-08-07,209.32,25587387,-0.5574,-0.3906,-0.1131
16,2018-08-08,206.05,22525487,0.1872,0.0,-0.1828
17,2018-08-10,207.36,24611202,-0.4588,-0.1794,0.2094
18,2018-08-17,213.44,35426997,0.0,-0.2887,-0.435
19,2018-08-23,214.65,18883224,0.2581,-0.3161,-0.0201
20,2018-08-30,223.25,48793824,-0.0332,0.1496,0.0129
