,Date,FB Open Price,FB Volume
0,2018-06-01,193.065,17307245
1,2018-06-04,191.84,18939795
2,2018-06-05,194.3,15544294
3,2018-06-06,191.0252,22558920
4,2018-06-07,190.75,21503171
5,2018-06-08,187.53,12677092
6,2018-06-11,188.81,12928907
7,2018-06-12,192.17,11562704
8,2018-06-13,192.74,15853821
9,2018-06-14,193.1,19120866
10,2018-06-15,195.79,21860931
11,2018-06-18,194.8,16826023
12,2018-06-19,196.2352,19993996
13,2018-06-20,199.1,28230933
14,2018-06-21,202.76,19045717
15,2018-06-22,201.16,17420188
16,2018-06-25,200.0,25275137
17,2018-06-26,197.6,17897576
18,2018-06-27,199.18,18734408
19,2018-06-28,195.18,18172439
20,2018-06-29,197.32,15811602
21,2018-07-02,193.37,13961578
22,2018-07-03,194.55,13489514
23,2018-07-05,194.74,19684193
24,2018-07-06,198.45,19740131
25,2018-07-09,204.93,18149437
26,2018-07-10,204.5,13190067
27,2018-07-11,202.22,12927377
28,2018-07-12,203.43,15454706
29,2018-07-13,207.81,11503401
30,2018-07-16,207.5,11078209
31,2018-07-17,204.9,15349892
32,2018-07-18,209.82,15334907
33,2018-07-19,208.77,11350429
34,2018-07-20,208.85,16241508
35,2018-07-23,210.58,16731969
36,2018-07-24,215.11,28468681
37,2018-07-25,215.715,64592585
38,2018-07-26,174.89,169803668
39,2018-07-27,179.87,60073749
40,2018-07-30,175.3,65280787
41,2018-07-31,170.67,40356471
42,2018-08-01,173.93,34042109
43,2018-08-02,170.68,32399954
44,2018-08-03,177.69,24763434
45,2018-08-06,178.97,49716192
46,2018-08-07,186.5,33398562
47,2018-08-08,184.75,22205230
48,2018-08-09,185.8492,19732120
49,2018-08-10,182.04,21500410
50,2018-08-13,180.1,17423264
51,2018-08-14,180.71,19101995
52,2018-08-15,179.34,33020231
53,2018-08-16,180.42,31351784
54,2018-08-17,174.5,24893176
55,2018-08-20,174.04,21518006
56,2018-08-21,172.81,19578514
57,2018-08-22,172.21,16894083
58,2018-08-23,173.09,18053567
59,2018-08-24,173.7,14631556
60,2018-08-27,175.99,17921935
61,2018-08-28,178.1,15910675
62,2018-08-29,176.295,18678301
63,2018-08-30,175.9,24216532
