,Date,FB Open Price,FB Volume,NYT VS (Day_Lag=-1),WSJ VS (Day_Lag=-1),CNN VS (Day_Lag=-1)
0,2018-07-05,194.74,19684193,0.1795,-0.4076,0.1666
1,2018-07-10,204.5,13190067,0.088,-0.106,0.1165
2,2018-07-11,202.22,12927377,-0.1459,0.2857,0.1048
3,2018-07-12,203.43,15454706,-0.1222,0.064,0.0719
4,2018-07-13,207.81,11503401,-0.3898,0.5429,-0.0916
5,2018-07-17,204.9,15349892,0.0085,0.361,0.0692
6,2018-07-18,209.82,15334907,0.2339,0.0339,-0.0778
7,2018-07-19,208.77,11350429,-0.1575,0.035,-0.0968
8,2018-07-23,210.58,16731969,0.2728,-0.1767,-0.0024
9,2018-07-25,215.715,64592585,0.1228,0.4916,-0.0349
10,2018-07-26,174.89,169803668,0.0466,0.1494,-0.0091
11,2018-07-27,179.87,60073749,-0.0728,0.2699,0.0284
12,2018-07-31,170.67,40356471,-0.0681,0.0178,-0.0087
13,2018-08-01,173.93,34042109,0.6042,-0.1598,-0.1102
14,2018-08-02,170.68,32399954,0.0705,-0.1107,0.0807
15,2018-08-03,177.69,24763434,0.1604,0.1636,-0.0822
16,2018-08-07,186.5,33398562,-0.0291,0.1124,-0.1363
17,2018-08-08,184.75,22205230,-0.055,0.063,-0.0811
18,2018-08-09,185.8492,19732120,-0.1837,0.0116,-0.0418
19,2018-08-13,180.1,17423264,-0.1502,0.3665,-0.0594
20,2018-08-14,180.71,19101995,0.2925,-0.1262,0.0154
21,2018-08-15,179.34,33020231,-0.0822,-0.0864,-0.1506
22,2018-08-16,180.42,31351784,-0.1898,0.0859,-0.083
23,2018-08-17,174.5,24893176,-0.1633,-0.202,-0.0421
24,2018-08-20,174.04,21518006,-0.3954,0.1969,-0.0492
25,2018-08-21,172.81,19578514,0.0667,-0.3887,-0.106
26,2018-08-22,172.21,16894083,-0.0908,0.0871,0.0117
27,2018-08-23,173.09,18053567,-0.0827,-0.1217,-0.1441
28,2018-08-24,173.7,14631556,-0.1424,-0.3685,-0.1146
29,2018-08-28,178.1,15910675,-0.0819,0.0612,-0.0103
30,2018-08-29,176.295,18678301,0.0145,0.099,0.0811
31,2018-08-30,175.9,24216532,0.0952,0.0669,-0.0998
