,Date,SPX Open Price,SPX Volume,NYT VS (Day_Lag=-1),WSJ VS (Day_Lag=-1),CNN VS (Day_Lag=-1)
0,2018-06-06,2753.25,3651640000,0.0069,0.2048,0.1294
1,2018-06-08,2765.8401,3123210000,0.1468,0.2277,-0.068
2,2018-06-13,2787.9399,3779230000,-0.0566,0.1921,0.3059
3,2018-06-14,2783.21,3526890000,-0.1581,0.2882,0.1673
4,2018-06-20,2769.73,3327600000,-0.1426,0.0725,0.0981
5,2018-06-21,2769.28,3300060000,0.0365,0.0204,-0.1629
6,2018-06-22,2760.79,5450550000,0.0252,0.2048,-0.0906
7,2018-06-27,2728.45,3776090000,-0.0307,0.1944,-0.1808
8,2018-06-28,2698.6899,3428140000,0.3676,0.3503,0.2119
9,2018-07-05,2724.1899,2953420000,-0.0656,-0.2963,-0.3612
10,2018-07-06,2737.6799,2554780000,0.3665,0.1897,0.0362
11,2018-07-09,2775.6201,3050040000,0.125,0.2238,0.0554
12,2018-07-10,2788.5601,3063850000,0.1178,0.0417,0.2061
13,2018-07-12,2783.1399,2821690000,-0.0384,0.1004,-0.1442
14,2018-07-16,2797.3601,2812230000,-0.1275,0.0248,-0.4019
15,2018-07-17,2789.3401,3050730000,-0.0463,0.0435,0.149
16,2018-07-19,2809.3701,3266700000,-0.2087,0.3283,-0.0456
17,2018-07-24,2820.6799,3417530000,0.029,0.1634,0.2325
18,2018-07-26,2835.49,3653330000,0.8264,0.1539,0.0066
19,2018-07-27,2842.3501,3415710000,-0.1628,0.2923,0.0595
20,2018-08-01,2821.1699,3496990000,0.0599,0.093,0.0555
21,2018-08-02,2800.48,3467380000,0.1885,0.3072,0.1997
22,2018-08-06,2840.29,2874540000,0.2914,0.0153,0.4939
23,2018-08-07,2855.9199,3162770000,0.3502,0.212,-0.3055
24,2018-08-09,2857.1899,3047050000,0.0691,0.0948,-0.037
25,2018-08-10,2838.8999,3256040000,0.296,0.0231,0.1998
26,2018-08-13,2835.46,3158450000,-0.0895,0.0,-0.7269
27,2018-08-14,2827.8799,2976970000,-0.1147,0.0225,-0.1017
28,2018-08-17,2838.3201,3024100000,0.0986,-0.0968,-0.1712
29,2018-08-21,2861.51,3147140000,0.1516,0.015,0.4447
30,2018-08-22,2860.99,2689560000,0.1597,0.1292,0.4258
31,2018-08-23,2860.29,2713910000,0.0963,-0.0462,0.0257
32,2018-08-24,2862.3501,2596190000,0.1187,-0.0745,0.1709
33,2018-08-27,2884.6899,2854080000,-0.4573,0.3502,-0.0216
34,2018-08-28,2901.45,2683190000,0.0252,0.0768,0.237
35,2018-08-29,2900.6201,2791860000,0.0417,0.3222,-0.0195
36,2018-08-30,2908.9399,2802180000,0.1341,0.2693,-0.0576
