Date,Date,WSJ VS (Day_Lag=-1)
2018-06-18,2018-06-18,0.3425
2018-06-19,2018-06-19,0.0744
2018-06-20,2018-06-20,-0.0437
2018-06-21,2018-06-21,0.0469
2018-06-22,2018-06-22,0.0674
2018-06-23,2018-06-23,0.1976
2018-06-24,2018-06-24,-0.2066
2018-06-25,2018-06-25,0.1635
2018-06-26,2018-06-26,-0.1176
2018-06-27,2018-06-27,-0.0193
2018-06-28,2018-06-28,0.0438
2018-06-29,2018-06-29,0.0347
2018-06-30,2018-06-30,0.0438
2018-07-01,2018-07-01,-0.1544
2018-07-02,2018-07-02,0.0349
2018-07-03,2018-07-03,0.0872
2018-07-04,2018-07-04,0.1467
2018-07-05,2018-07-05,0.0063
2018-07-06,2018-07-06,0.0692
2018-07-07,2018-07-07,0.0243
2018-07-08,2018-07-08,0.1806
2018-07-09,2018-07-09,-0.0187
2018-07-10,2018-07-10,-0.0384
2018-07-11,2018-07-11,-0.02
2018-07-12,2018-07-12,0.0185
2018-07-13,2018-07-13,0.0022
2018-07-14,2018-07-14,0.0153
2018-07-15,2018-07-15,0.3828
2018-07-16,2018-07-16,0.0065
2018-07-17,2018-07-17,-0.0077
2018-07-18,2018-07-18,-0.0464
2018-07-19,2018-07-19,0.1086
2018-07-20,2018-07-20,0.0397
2018-07-21,2018-07-21,-0.1042
2018-07-22,2018-07-22,-0.3603
2018-07-23,2018-07-23,0.1919
2018-07-24,2018-07-24,0.1115
2018-07-25,2018-07-25,0.0948
2018-07-26,2018-07-26,-0.0785
2018-07-27,2018-07-27,0.0336
2018-07-28,2018-07-28,-0.1182
2018-07-29,2018-07-29,-0.0146
2018-07-30,2018-07-30,0.0111
2018-07-31,2018-07-31,0.0647
2018-08-01,2018-08-01,0.0278
2018-08-02,2018-08-02,0.0177
2018-08-03,2018-08-03,0.0326
2018-08-04,2018-08-04,0.1735
2018-08-05,2018-08-05,0.0317
2018-08-06,2018-08-06,-0.0794
2018-08-07,2018-08-07,0.15
2018-08-08,2018-08-08,-0.1171
2018-08-09,2018-08-09,-0.1176
2018-08-10,2018-08-10,-0.1155
2018-08-11,2018-08-11,-0.0529
2018-08-12,2018-08-12,-0.0793
2018-08-13,2018-08-13,-0.0188
2018-08-14,2018-08-14,-0.0119
2018-08-15,2018-08-15,-0.2306
2018-08-16,2018-08-16,-0.0744
2018-08-17,2018-08-17,-0.1117
2018-08-18,2018-08-18,0.0475
2018-08-19,2018-08-19,-0.2026
2018-08-20,2018-08-20,-0.0099
2018-08-21,2018-08-21,0.1182
2018-08-22,2018-08-22,-0.0036
2018-08-23,2018-08-23,-0.0658
2018-08-24,2018-08-24,0.0171
2018-08-25,2018-08-25,0.0025
2018-08-26,2018-08-26,0.3019
2018-08-27,2018-08-27,-0.0256
2018-08-28,2018-08-28,0.0859
2018-08-29,2018-08-29,0.0912
2018-08-30,2018-08-30,0.3793
